video_title,average_completion_percent,median_completion_percent,views
ACC215_Y2_01_01_A,95.97358490566039,100.0,53
ACC215_Y2_01_01_B,74.28125,85.7,48
ACC215_Y2_01_02,92.88571428571427,100.0,49
ACC215_Y2_01_03,84.52888888888889,91.7,45
ACC215_Y2_01_04_A,95.8048780487805,100.0,41
ACC215_Y2_01_04_B,95.1125,100.0,40
ACC215_Y2_01_05_A,90.20270270270271,100.0,37
ACC215_Y2_01_05_B,86.19166666666666,100.0,36
ACC215_Y2_01_06,87.32777777777778,100.0,36
ACC215_Y2_01_07_,93.915625,100.0,32
ACC215_Y2_01_08 A,94.084375,100.0,32
ACC215_Y2_01_08 B,90.05925925925925,100.0,27
ACC215_Y2_01_09_A,92.84814814814816,100.0,27
ACC215_Y2_01_09_B,89.3,100.0,27
ACC215_Y2_01_10_A,91.7258064516129,100.0,31
ACC215_Y2_01_10_B,91.56333333333333,100.0,30
ACC215_Y2_01_10_C,85.74137931034483,100.0,29
ACC215_Y2_01_11_A,91.85,100.0,18
ACC215_Y2_01_11_B,93.99375,100.0,16
ACC215_Y2_01_13A,100.0,100.0,13
ACC215_Y2_01_13B,98.56153846153846,100.0,13
ACC216LL_Y2_02_01,59.08571428571429,100.0,7
ACC216LL_Y2_02_02,65.08,100.0,5
ACC216LL_Y2_02_03,56.5,78.9,5
ACC216LL_Y2_02_06,48.35,43.85,6
ACC216LL_Y2_02_08,1.8,1.8,1
ACC216LL_Y2_02_12,2.3,2.3,2
ACC216_Y2_02_01_A,92.77777777777777,100.0,9
ACC216_Y2_02_01_B,100.0,100.0,7
ACC216_Y2_02_01_C,94.89999999999999,100.0,7
ACC216_Y2_02_04_A,77.2,100.0,8
ACC216_Y2_02_04_B,79.73333333333333,100.0,6
ACC216_Y2_02_08_A,60.1,100.0,7
ACC216_Y2_02_08_B,100.0,100.0,4
ACC216_Y2_02_09,80.56,100.0,5
ACC216_Y2_02_10,67.33333333333333,100.0,3
ACC217LL_Y2_01_03,67.94736842105263,88.19999999999999,38
ACC217LL_Y2_01_04,68.65294117647058,99.45,34
ACC217LL_Y2_01_08,68.4888888888889,95.4,27
ACC217LL_Y2_01_09,54.04782608695652,62.9,23
ACC217LL_Y2_01_10,52.19166666666667,54.6,12
ACC217_Y2_01_01,93.45357142857142,100.0,56
ACC217_Y2_01_02_A,95.74468085106383,100.0,47
ACC217_Y2_01_02_B,92.10851063829789,100.0,47
ACC217_Y2_01_03,92.30454545454546,100.0,44
ACC217_Y2_01_04_A,86.76829268292683,100.0,41
ACC217_Y2_01_04_B,91.30512820512821,100.0,39
ACC217_Y2_01_05_A,95.83250000000001,100.0,40
ACC217_Y2_01_05_B,99.21142857142857,100.0,35
ACC217_Y2_01_06A,98.43030303030302,100.0,33
ACC217_Y2_01_06B,90.85,100.0,32
ACC217_Y2_01_07,86.93714285714286,100.0,35
ACC217_Y2_01_08,88.32121212121211,100.0,33
ACC217_Y2_01_09,82.46176470588235,100.0,34
ACC217_Y2_01_10,89.19444444444444,100.0,18
ACC217_Y2_01_11_A,100.0,100.0,15
ACC217_Y2_01_11_B,93.63333333333334,100.0,15
ACC217_Y2_01_12,92.86666666666666,100.0,15
AMA Session with the Director of SIWES,34.81875,12.15,64
AMS 105 (2023-10-16 15_56 GMT+1),23.894117647058824,6.2,17
AMS101LL_Y1_01_01,63.2928338762215,89.1,614
AMS101LL_Y1_01_02,62.93251028806584,86.55,486
AMS101LL_Y1_01_03,68.77488789237668,100.0,446
AMS101LL_Y1_01_04,64.9400544959128,96.0,367
AMS101LL_Y1_01_05,62.000684931506854,89.2,292
AMS101LL_Y1_01_06,47.743317972350226,35.1,434
AMS101LL_Y1_01_07,65.46836363636363,100.0,275
AMS101LL_Y1_01_08,63.67333333333333,92.2,225
AMS101LL_Y1_01_09,57.25615384615385,82.6,260
